 # ,address,Nova $,Energy,  $PGLD ,Sloop,Galleon,Rogue  ,Frigate,Copper Coin,Faded,High Seas,Bro Tablet,Bro-1,Bro-2,Bro-3,Bro-to-do,Bro-done,Dealer Tablet,Dealer-1,Dealer-2,Dealer-3 , Salt Tablet,Salt-1,Salt-2,Salt-3,Salt-to-do,Salt-done,F1,F2,F3,F4,G1,G2 ,G3,G4,S1,S2,S3,S4,T1: Wood,T1: Cotton,T1: Iron,Rope,S Rock,T2: Oar,T2: Net,T2: Anchor,M Rock,T3: Compass,T3: Scale,T3: Spyglass,L Rock,Goblin Totem,Parrot Totem,Monkey Totem,Goldfish Totem,Skeleton,Musket,Dagger,Cutlass,Billy,Grappling Hook,Flask,Jug,Keg,Sail,Needle,Gauntlet Chest 1,Gauntlet Chest 2,Gauntlet Chest 3,Gauntlet Chest 4,Map 1,Map 2,Map 3,Map 4,Pirate's Skiff,Small Stones,Green Hedge,Palm Tree,Wooden Barrel,Bush,Wrecked Cannon,Small Rock and Driftwood,Black Crate,Founder's Trade License,Pirate Lamp,Pirate Pathway,Purple Palm,[FG] Gauntlet Chest I,[FG] Gauntlet Chest II,[FG] Gauntlet Chest III,[FG] Gauntlet Chest IV,Pirate Nation Flag,Kelp,Wooden Helm,Cannon Fuse,Wooden Column,Iron Rivets,Fish Food,Crate of Bananas,Barrrbecue,Yellow Sea Flower,Small School of Silver Fish,Bruce Totem,Pink Clamshell,Stone Pathway,Iron Sights
11.0,0xa46609dd0c64278f0aab59be515f381ac41b26cb,0.0,0.0,9335.0,0.0,0.0,,0.0,0.0,1.0,,6.0,12.0,10.0,12.0,,0.0,8.0,,,,8.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,4.0,5.0,10.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
12.0,0xaafe632c7467b85f18e8e4fc23ef1dd7c8ae9eab,0.0,0.0,2310.0,0.0,0.0,,0.0,0.0,0.0,,8.0,20.0,8.0,19.0,,0.0,1.0,,,,1.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,83.0,144.0,167.0,0.0,0.0,10.0,18.0,16.0,0.0,21.0,13.0,14.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0x20b33347b65c96d97112ffd5a46614d50521185f,0.0,0.0,2325.0,0.0,0.0,,0.0,0.0,0.0,,1.0,5.0,4.0,4.0,,12.0,0.0,,,,3.0,,0.0,,,,0.0,,1.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,12.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0xb6cf3b05b68920834436401c99c0277184fb4003,0.0,0.0,2175.0,0.0,0.0,,0.0,0.0,2.0,,10.0,13.0,12.0,15.0,,0.0,3.0,,,,3.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,85.0,158.0,172.0,0.0,0.0,20.0,18.0,18.0,0.0,9.0,9.0,8.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0x85fd1677a9cfc41cc206cf8eaf970d6d37fd8796,0.0,0.0,2210.0,0.0,0.0,,0.0,0.0,1.0,,11.0,10.0,13.0,11.0,,0.0,1.0,,,,9.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,63.0,157.0,187.0,1.0,0.0,14.0,22.0,10.0,0.0,6.0,6.0,13.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0xce02f7724ea405e0af13c96246570d2f69e6d91b,0.0,0.0,2290.0,0.0,0.0,,0.0,0.0,0.0,,5.0,15.0,10.0,18.0,,0.0,2.0,,,,7.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,153.0,225.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,10.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0x8befd068128650f2d5ded28cb4bd2539189ba9ca,0.0,0.0,2190.0,0.0,0.0,,0.0,0.0,0.0,,1.0,20.0,16.0,18.0,,0.0,1.0,,,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,10.0,57.0,161.0,4.0,0.0,10.0,12.0,0.0,0.0,4.0,6.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0x3f4fa8c7ba55327b61b07fbbe230661e5e7c13c5,0.0,0.0,2495.0,0.0,0.0,,0.0,0.0,0.0,,1.0,11.0,11.0,10.0,,0.0,10.0,,,,13.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,167.0,212.0,247.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,8.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0x8054726f9791f1075532c4ff2c00ca6696ea4db8,0.0,0.0,2404.0,0.0,0.0,,0.0,0.0,2.0,,7.0,11.0,13.0,12.0,,0.0,8.0,,,,5.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,112.0,162.0,193.0,0.0,0.0,14.0,14.0,22.0,0.0,9.0,12.0,7.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0x3401507844f64e452453997e4d28456452c127ec,0.0,0.0,2080.0,0.0,0.0,,0.0,0.0,0.0,,6.0,15.0,19.0,14.0,,0.0,0.0,,,,1.0,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,195.0,216.0,242.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,8.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0x8528f84670547f580b30223082cbbc4cc089abff,0.0,0.0,3092.0,0.0,0.0,,0.0,1.0,0.0,,0.0,17.0,22.0,19.0,,0.0,1.0,,,,1.0,,1.0,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,6.0,192.0,75.0,4.0,0.0,5.0,14.0,7.0,0.0,2.0,8.0,5.0,0.0,,,,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,4.0,1.0,2.0,3.0,1.0,,,,34.0,11.0,16.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,11.0,9.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,4.0,3.0
,,0.0,0.0,439049.0,2.0,5.0,0.0,9.0,7.0,10.0,0.0,119.0,285.0,252.0,261.0,0.0,50.0,63.0,0.0,0.0,0.0,105.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,1.0,1.0,3056.0,4337.0,3647.0,61.0,9.0,262.0,405.0,350.0,1.0,109.0,201.0,102.0,1.0,0.0,0.0,0.0,3.0,10.0,1.0,3.0,3.0,5.0,2.0,33.0,114.0,44.0,2.0,65.0,17.0,0.0,0.0,0.0,140.0,184.0,91.0,59.0,21.0,3.0,10.0,4.0,2.0,1.0,2.0,3.0,10.0,39.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,56.0,93.0,95.0,6.0,5.0,4.0,3.0,1.0,1.0,1.0,4.0,3.0
