 # ,address,CR,fights,Nova $,Weth $,Energy,Gen 0, Gen 1 ,  $PGLD,Sloop,Galleon,Frigate,Rogue,Faded,High Seas,F1,F2,F3,F4,G1,G2 ,G3,G4,S1,S2,S3,S4,Copper Coin,Rope,S Rock,T1: Wood,T1: Cotton,T1: Iron,T2: Oar,T2: Net,T2: Anchor,M Rock,T3: Compass,T3: Scale,T3: Spyglass,L Rock,Goblin Totem,Parrot Totem,Monkey Totem,Goldfish Totem,Skeleton,Musket,Dagger,Cutlass,Billy,Grappling Hook,Flask,Jug,Keg,Sail,Needle,Gauntlet Chest 1,Gauntlet Chest 2,Gauntlet Chest 3,Gauntlet Chest 4,Map 1,Map 2,Map 3,Map 4,Pirate's Skiff,Trivia Totem,Bruce Totem,Bandana,Small Stones,Green Hedge,Wooden Barrel,Bush,Wrecked Cannon,Wrecked Hull,Wrecked Mast,Small Rock and Driftwood,Small Algae Bloom,Black Crate,White Crate,Founder's Trade License,Pirate Lamp,Purple Palm,The Dealer's Tablet,Broseph's Tablet,Swashbuckler's Squash,Chronicles of Converts,A Toast!,,Mint Day Cake,Pirate Nation Flag,Topiary Pirate Statue,Hammock,Barrrbecue,Stone Pathway,Kelp,Puzzle Totem,Cannon Fuse,Wooden Column,Iron Rivets
1.0,0xd6b8747b019aebbbc47cc60fbfcb79622c559396,10.0,0.0,77.11,0.0,150.0,11.0,1.0,32470.0,,1.0,1.0,,81.0,10.0,,,,,,,,,,,,,2.0,4.0,,178.0,65.0,185.0,25.0,8.0,16.0,,2.0,9.0,26.0,,,,,,2.0,45.0,35.0,34.0,47.0,2.0,62.0,264.0,11.0,,53.0,1.0,1.0,1.0,1.0,10.0,10.0,11.0,11.0,1.0,1.0,1.0,1.0,4.0,9.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,5.0,1.0,9.0,3.0,2.0,1.0,1.0,1.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47.0,53.0,51.0
,,,0.0,77.11,0.0,150.0,11.0,1.0,32470.0,0.0,1.0,1.0,0.0,81.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,178.0,65.0,185.0,25.0,8.0,16.0,0.0,2.0,9.0,26.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,35.0,34.0,47.0,2.0,62.0,264.0,11.0,0.0,53.0,1.0,1.0,1.0,1.0,10.0,10.0,11.0,11.0,1.0,1.0,1.0,1.0,4.0,9.0,4.0,1.0,1.0,1.0,3.0,3.0,2.0,5.0,1.0,9.0,3.0,2.0,1.0,1.0,1.0,28.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,47.0,53.0,51.0
