 # ,address,Nova $,Energy,  $PGLD ,Sloop,Galleon,Rogue  ,Frigate,Copper Coin,Faded,High Seas,Cutlass,F1,F2,F3,F4,G1,G2 ,G3,G4,S1,S2,S3,S4,T1: Wood,T1: Cotton,T1: Iron,Rope,S Rock,T2: Oar,T2: Net,T2: Anchor,M Rock,T3: Compass,T3: Scale,T3: Spyglass,L Rock,Goblin Totem,Parrot Totem,Monkey Totem,Goldfish Totem,Skeleton,Musket,Dagger,Billy,Grappling Hook,Flask,Jug,Keg,Sail,Needle,Gauntlet Chest 1,Gauntlet Chest 2,Gauntlet Chest 3,Gauntlet Chest 4,Map 1,Map 2,Map 3,Map 4,Pirate's Skiff,Green Hedge,Red Crate,Orange Crate,Yellow Crate,Green Crate,Blue Crate,Purple Crate,Brown Crate,Black Crate,Dark Grey Crate,Grey Crate,Light Grey Crate,White Crate,Pirate Nation Flag,Wooden Column,Iron Rivets,Kelp,Cannon Fuse
1.0,0xa801e929856f98e0bcf6d835363b08e13b373551,520.54,24.0,1667.0,,,,0.0,,3.0,,,,,,,,,,,,,,,185.0,0.0,61.0,,,60.0,0.0,4.0,,1.0,0.0,13.0,,1.0,2.0,,,1.0,0.0,,,,2.0,1.0,3.0,0.0,,,,,,,,,,1.0,32.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,22.0,5.0,6.0,6.0,7.0,5.0,10.0,10.0,0.0,0.0
2.0,0x70d3fd13a34d7b9dc450a131f8e35433a29b3753,0.0,21.0,0.0,,,,0.0,,4.0,,,,,,,,,,,,,,,172.0,10.0,114.0,,,6.0,0.0,0.0,,2.0,7.0,3.0,,0.0,0.0,,,0.0,0.0,,,,5.0,0.0,0.0,0.0,,,,,,,,,,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
3.0,0x912df4f03c3f8e63cff6714720282d71c4029115,25.38,31.0,300.0,,,,0.0,,2.0,,,,,,,,,,,,,,,0.0,0.0,10.0,,,22.0,8.0,0.0,,11.0,4.0,3.0,,0.0,0.0,,,0.0,0.0,,,,1.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
4.0,0x41ee40ac18567390db266d5260ce6914eedcca72,8.96,5.0,572.0,,,,0.0,,3.0,,,,,,,,,,,,,,,50.0,0.0,23.0,,,2.0,2.0,6.0,,0.0,0.0,4.0,,1.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,1.0,,,,,,,,,,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5.0,0xe560c83333e107e5c1ef25490cc694ccd224058e,2.12,20.0,2804.0,,,,0.0,,3.0,,,,,,,,,,,,,,,69.0,19.0,19.0,,,5.0,0.0,7.0,,1.0,0.0,9.0,,0.0,1.0,,,0.0,1.0,,,,0.0,2.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0xb7b5b842e5dee4b68d21df502aa808dd81eda3a6,2.08,22.0,1330.0,,,,0.0,,2.0,,,,,,,,,,,,,,,50.0,0.0,9.0,,,0.0,0.0,12.0,,0.0,1.0,8.0,,1.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,0x9c64bc6dae2fefb639c2f63ebd39698783fff80b,2.04,46.0,650.0,,,,0.0,,1.0,,,,,,,,,,,,,,,0.0,0.0,4.0,,,0.0,1.0,0.0,,5.0,0.0,2.0,,0.0,0.0,,,0.0,0.0,,,,1.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,0xef228445302f605ba64aed6f3d0dfff88eaad17e,2.11,26.0,232.0,,,,1.0,,0.0,,,,,,,,,,,,,,,14.0,0.0,7.0,,,0.0,0.0,0.0,,1.0,0.0,1.0,,0.0,0.0,,,0.0,0.0,,,,1.0,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,563.23,195.0,7555.0,0.0,0.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,540.0,29.0,247.0,0.0,0.0,95.0,11.0,29.0,0.0,21.0,12.0,43.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,38.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,32.0,5.0,6.0,6.0,7.0,6.0,14.0,10.0,1.0,1.0
