 # ,address,CR,fights,Nova $,Energy,  $PGLD ,Sloop,Galleon,Rogue  ,Frigate,Copper Coin,Faded,High Seas,Rope,S Rock,T1: Wood,T1: Cotton,T1: Iron,T2: Oar,T2: Net,T2: Anchor,M Rock,T3: Compass,T3: Scale,T3: Spyglass,L Rock,Goblin Totem,Parrot Totem,Monkey Totem,Goldfish Totem,Skeleton,Musket,Dagger,Cutlass,Billy,Grappling Hook,Flask,Jug,Keg,Sail,Needle,Gauntlet Chest 1,Gauntlet Chest 2,Gauntlet Chest 3,Gauntlet Chest 4,Map 1,Map 2,Map 3,Map 4,F1,F2,F3,F4,G1,G2 ,G3,G4,S1,S2,S3,S4,Pirate's Skiff,Chronicles of Converts,Wooden Helm,Cannon Fuse,Wooden Column,Iron Rivets,Iron Sights
1.0,0x229d8566839deb299d4f80bd7568b9d74ed55cf5,10.0,0.0,9.06,22.0,4897.0,,1.0,,4.0,,20.0,,3.0,,15.0,7.0,1.0,19.0,15.0,13.0,,16.0,12.0,8.0,,,,,1.0,,3.0,2.0,5.0,,,1.0,2.0,,,2.0,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,2.0,1.0,1.0,151.0,2.0,5.0,3.0,11.0,1.0
,,,0.0,9.06,22.0,4897.0,0.0,1.0,0.0,4.0,0.0,20.0,0.0,3.0,0.0,15.0,7.0,1.0,19.0,15.0,13.0,0.0,16.0,12.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,151.0,2.0,5.0,3.0,11.0,1.0
