 # ,address,CR,fights,Nova $,Energy,  $PGLD ,Sloop,Galleon,Rogue  ,Frigate,Copper Coin,Faded,High Seas,Rope,S Rock,T1: Wood,T1: Cotton,T1: Iron,T2: Oar,T2: Net,T2: Anchor,M Rock,T3: Compass,T3: Scale,T3: Spyglass,L Rock,Goblin Totem,Parrot Totem,Monkey Totem,Goldfish Totem,Skeleton,Musket,Dagger,Cutlass,Billy,Grappling Hook,Flask,Jug,Keg,Sail,Needle,Gauntlet Chest 1,Gauntlet Chest 2,Gauntlet Chest 3,Gauntlet Chest 4,Map 1,Map 2,Map 3,Map 4,F1,F2,F3,F4,G1,G2 ,G3,G4,S1,S2,S3,S4,Pirate's Skiff,Small Stones,Green Hedge,Palm Tree,Wooden Barrel,Skeleton with Rum,Black Crate,Chronicles of Converts,Weathered Headstone,Pirate Crypt,Pirate Nation Flag,Kelp,Wooden Helm,Cannon Fuse,Wooden Column,Iron Rivets
1.0,0x2bdc61e8d8bdd4c904b1f4ba69075bc82bb6d4eb,10.0,0.0,1.4,14.0,3148.0,,,,1.0,,31.0,1.0,4.0,,5.0,5.0,4.0,18.0,17.0,20.0,,7.0,5.0,9.0,,,1.0,,,1.0,,2.0,10.0,,3.0,32.0,14.0,,,11.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,4.0,12.0,4.0,8.0,1.0,5.0,90.0,1.0,1.0,2.0,1.0,1.0,3.0,8.0,15.0
,,,0.0,1.4,14.0,3148.0,0.0,0.0,0.0,1.0,0.0,31.0,1.0,4.0,0.0,5.0,5.0,4.0,18.0,17.0,20.0,0.0,7.0,5.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,3.0,32.0,14.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,12.0,4.0,8.0,1.0,5.0,90.0,1.0,1.0,2.0,1.0,1.0,3.0,8.0,15.0
