 # ,address,CR,fights,Nova $,Weth $,Energy,Gen 0, Gen 1 ,  $PGLD,Sloop,Galleon,Frigate,Rogue,Plan-S,Plan-G,Plan-F,Faded,High Seas,F1,F2,F3,F4,G1,G2 ,G3,G4,S1,S2,S3,S4,Copper Coin,Rope,S Rock,T1: Wood,T1: Cotton,T1: Iron,T2: Oar,T2: Net,T2: Anchor,M Rock,T3: Compass,T3: Scale,T3: Spyglass,L Rock,Goblin Totem,Parrot Totem,Monkey Totem,Goldfish Totem,Skeleton,Musket,Dagger,Cutlass,Billy,Grappling Hook,Flask,Jug,Keg,Sail,Needle,Gauntlet Chest 1,Gauntlet Chest 2,Gauntlet Chest 3,Gauntlet Chest 4,Map 1,Map 2,Map 3,Map 4,Pirate's Skiff,Chronicles of Converts,,Tiki Head Statue,Iron Cannon,Cannon Fuse,Wooden Column,Iron Rivets,Iron Armor,Fish Food
1.0,0x5964b97c67ffbfdc24ee4247519b5bbd8c4491f1,10.0,0.0,52.43,103.05,49.0,1.0,1.0,99329.0,,,1.0,,,,,2.0,39.0,1.0,1.0,,,,,,,,,,,,,,2348.0,1797.0,1231.0,10.0,21.0,23.0,,59.0,30.0,11.0,,,,,,,27.0,30.0,49.0,28.0,,49.0,57.0,,,14.0,,,,,18.0,21.0,20.0,19.0,1.0,1500.0,7.0,1.0,4.0,13.0,15.0,18.0,6.0,1.0
,,,0.0,52.43,103.05,49.0,1.0,1.0,99329.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,39.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2348.0,1797.0,1231.0,10.0,21.0,23.0,0.0,59.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,30.0,49.0,28.0,0.0,49.0,57.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,18.0,21.0,20.0,19.0,1.0,1500.0,7.0,1.0,4.0,13.0,15.0,18.0,6.0,1.0
