 # ,address,CR,fights,Nova $,Weth $,Energy,Gen 0, Gen 1 ,  $PGLD,Sloop,Galleon,Frigate,Rogue,Plan-S,Plan-G,Plan-F,Faded,High Seas,F1,F2,F3,F4,G1,G2 ,G3,G4,S1,S2,S3,S4,Copper Coin,Rope,S Rock,T1: Wood,T1: Cotton,T1: Iron,T2: Oar,T2: Net,T2: Anchor,M Rock,T3: Compass,T3: Scale,T3: Spyglass,L Rock,Goblin Totem,Parrot Totem,Monkey Totem,Goldfish Totem,Skeleton,Musket,Dagger,Cutlass,Billy,Grappling Hook,Flask,Jug,Keg,Sail,Needle,Gauntlet Chest 1,Gauntlet Chest 2,Gauntlet Chest 3,Gauntlet Chest 4,Map 1,Map 2,Map 3,Map 4,Overworld Galleon,Marks Frigate,Founder's Oops!...I Did It Again Chest,Palm Tree,Purple Clam Shell,Black Crate,Tiki Totem,,Pirate Nation Flag,Kelp,Cannon Fuse,Wooden Column,Iron Rivets,Gold Keg Statue,Small Stones,Green Hedge,Founder's Trade License,Chronicles of Converts,Iron Sights,Fish Food,Crate of Bananas,Pirate's Skiff,Plans: Skiff I,Plans: Skiff II,Founder's Whoopsie Chest,Founder's Platinum Chest,Founder's Iron Chest,Founder's Bronze Chest,Founder's Silver Chest,Founder's Gold Chest,Grey Crate,Purple Palm,Pipo's Periwinkle,Iron Cannon
15.0,0xea5331f53f4c7ac4a8247e76dec06039475c341e,2.0,2.0,4.76,0.0,21.0,1.0,0.0,5325.0,1.0,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,44.0,6.0,32.0,0.0,0.0,1.0,0.0,4.0,4.0,2.0,,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0x3f5a66b3d435f20637287fa5df6d217b47f58782,1.0,2.0,4.76,0.0,20.0,1.0,0.0,5975.0,1.0,0.0,0.0,0.0,0.0,0.0,,7.0,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,38.0,19.0,0.0,2.0,5.0,3.0,0.0,2.0,2.0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0x34706e7c92789cbe9d704441cd39bebda2a9031c,2.0,2.0,4.76,0.0,20.0,1.0,0.0,5360.0,1.0,0.0,0.0,0.0,0.0,0.0,,9.0,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,38.0,18.0,2.0,1.0,4.0,1.0,0.0,2.0,5.0,3.0,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0xdbc9502b78f03466cbc7c213be7bb930b73605f4,1.0,2.0,4.76,0.0,21.0,1.0,0.0,5660.0,1.0,0.0,0.0,0.0,0.0,0.0,,6.0,1.0,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,15.0,4.0,0.0,4.0,0.0,0.0,2.0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0xf91d15ba2e6798367c2e58b64959d3a0ed2e9a92,2.0,3.0,4.76,0.0,13.0,1.0,0.0,4585.0,1.0,0.0,0.0,0.0,0.0,0.0,,6.0,1.0,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,45.0,1.0,2.0,4.0,5.0,1.0,0.0,0.0,2.0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0xb2b0899b749283b43e4d4c640acef23abf03a066,2.0,2.0,0.0,0.0,13.0,1.0,0.0,4610.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,2.0,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,2.0,20.0,26.0,1.0,2.0,4.0,0.0,2.0,2.0,4.0,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0xd697ad505d167a91ce9855999149378c38a0c09f,1.0,2.0,0.0,0.0,12.0,1.0,0.0,4675.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,3.0,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,65.0,5.0,12.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0x2ff62ac37504e0015742b68a898c943cdd873074,2.0,2.0,0.0,0.0,11.0,1.0,0.0,5475.0,1.0,0.0,0.0,0.0,0.0,0.0,,8.0,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,40.0,26.0,8.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0xe1617daa9b74aca0aa04225393a8b61c67df22de,1.0,2.0,0.0,0.0,150.0,1.0,0.0,2695.0,1.0,0.0,0.0,0.0,0.0,0.0,,8.0,1.0,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,44.0,4.0,2.0,6.0,0.0,0.0,0.0,2.0,5.0,2.0,,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0x741eacef702f40fbdff7f8f141c12025e8080d37,1.0,2.0,4.76,0.0,150.0,1.0,0.0,2870.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,,,0.0,,0.0,,,,,,,0.0,0.0,0.0,27.0,1.0,16.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
