 # ,address,CR,fights,Nova $,Energy,  $PGLD,Gen 0,Gen 1 ,Sloop,Galleon,Rogue  ,Frigate,Copper Coin,Faded,High Seas,Rope,S Rock,T1: Wood,T1: Cotton,T1: Iron,T2: Oar,T2: Net,T2: Anchor,M Rock,T3: Compass,T3: Scale,T3: Spyglass,L Rock,Goblin Totem,Parrot Totem,Monkey Totem,Goldfish Totem,Skeleton,Musket,Dagger,Cutlass,Billy,Grappling Hook,Flask,Jug,Keg,Sail,Needle,Gauntlet Chest 1,Gauntlet Chest 2,Gauntlet Chest 3,Gauntlet Chest 4,Map 1,Map 2,Map 3,Map 4,F1,F2,F3,F4,G1,G2 ,G3,G4,S1,S2,S3,S4,Pirate's Skiff,Completed Plan: Sloop,Wooden Barrel,Medium Sand Castle,Red Crate,Black Crate,Mint Day Cake,,Iron Cannon,Wooden Helm,Cannon Fuse,Wooden Column,Iron Rivets,Iron Armor,Iron Sights
1.0,0x42e76f0ce43508c42bb61bd1b7c33295b7f4dd72,10.0,0.0,154.07,124.0,10975.0,26.0,0.0,9.0,13.0,,4.0,6.0,152.0,,,7.0,1002.0,1125.0,1188.0,101.0,223.0,190.0,,136.0,102.0,148.0,,9.0,7.0,,10.0,,22.0,40.0,37.0,34.0,5.0,11.0,19.0,22.0,13.0,53.0,1.0,1.0,1.0,1.0,3.0,,,,,1.0,,,,,2.0,2.0,6.0,1.0,6.0,1.0,1.0,1.0,9.0,1.0,2.0,15.0,1.0,6.0,16.0,14.0,23.0,29.0,52.0,4.0,10.0
,,,0.0,154.07,124.0,10975.0,26.0,0.0,9.0,13.0,0.0,4.0,6.0,152.0,0.0,0.0,7.0,1002.0,1125.0,1188.0,101.0,223.0,190.0,0.0,136.0,102.0,148.0,0.0,9.0,7.0,0.0,10.0,0.0,22.0,40.0,37.0,34.0,5.0,11.0,19.0,22.0,13.0,53.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,1.0,6.0,1.0,1.0,1.0,9.0,1.0,2.0,15.0,1.0,6.0,16.0,14.0,23.0,29.0,52.0,4.0,10.0
